USERID,Recency,Frequency,Monetary
160,8,57,1536
161,1,266,6072
162,0,71,3038
163,57,17,273
164,3,116,4272
165,1,174,2995
166,5,122,3060
167,2,20,1268
168,11,37,511
169,36,24,256
170,18,45,2025
171,10,25,740
172,2,159,1771
173,317,10,235
174,42,27,1208
175,56,51,1154
176,100,23,788
177,19,50,1131
178,0,119,2028
179,189,38,621
180,15,68,2103
181,119,39,1671
182,55,36,1162
183,37,136,1561
184,0,257,7090
185,6,68,2138
186,5,3,60
187,6,59,701
188,15,43,1848
189,19,38,802
190,42,23,696
191,3,34,553
192,1,95,3778
193,17,136,4815
194,1,73,1883
195,0,91,4167
196,0,186,5261
197,1,55,1929
198,2,461,8659
199,10,54,668
200,1,80,1167
201,7,48,1435
202,15,37,965
203,1,42,909
204,5,57,929
205,3,106,3750
206,56,15,387
207,58,21,996
208,10,140,4296
209,1,196,6877
210,3,147,3773
211,1,112,2244
212,14,109,3053
213,36,9,606
214,7,86,2658
215,0,142,1673
216,0,120,2624
217,20,65,2435
218,0,164,9212
219,2,228,11885
220,32,91,2525
221,16,79,2879
222,2,130,5898
223,13,118,2739
224,5,56,1601
225,37,44,730
226,43,50,1205
227,6,135,1390
228,4,87,2405
229,19,40,1005
230,0,168,4521
231,258,9,326
232,39,631,12696
233,15,15,645
234,15,19,261
235,3,200,12157
236,3,47,1592
237,57,6,550
238,59,28,693
239,0,264,4671
240,7,31,366
241,39,16,200
242,0,87,5232
243,1,250,8074
244,34,41,1699
245,27,48,1396
246,19,47,847
247,7,59,1243
248,7,57,6039
249,7,137,2823
250,5,121,5992
251,8,83,2269
252,46,9,94
253,1,385,10994
254,3,43,442
255,14,18,672
256,0,125,9850
257,13,122,2690
258,1,211,2631
259,17,54,1158
260,12,30,425
261,61,44,1242
262,14,218,4802
263,3,325,5870
264,31,61,1783
265,1,53,1882
266,14,59,3130
267,36,26,386
268,35,30,809
269,4,84,1765
270,3,41,923
271,7,98,1376
272,254,7,402
273,1,127,2501
274,37,15,120
275,0,321,6285
276,2,173,5759
277,17,31,754
278,5,84,2054
279,56,53,1817
280,3,105,2376
281,5,79,1495
282,0,110,4163
283,11,78,6023
284,6,21,535
285,1,202,4228
286,0,41,1245
287,2,271,3229
288,2,92,3115
289,13,183,5970
290,1,290,5524
291,23,61,2474
292,7,83,977
293,17,108,3958
294,1,269,5411
295,0,5,149
296,14,12,149
297,13,114,3536
298,419,7,225
299,1,11,242
300,26,107,4974
301,0,81,7212
302,20,95,1798
303,0,199,4880
304,0,304,8586
305,2,141,3827
306,0,185,5717
307,1,415,2582
308,1,83,2465
309,87,22,2326
310,5,9,184
311,2,51,1351
312,15,40,2578
313,625,4,93
314,4,41,3004
315,84,11,182
316,0,53,1038
317,1,61,6083
318,0,92,1242
319,21,109,3758
320,22,19,497
321,21,106,5936
322,3,71,2419
323,0,14,157
324,0,150,8555
325,13,75,2851
326,0,26,740
327,40,27,227
328,3,239,17332
329,5,146,3027
330,25,189,1679
331,20,65,1273
332,4,118,5519
333,33,39,1249
334,0,466,4828
335,5,147,2822
336,24,120,3090
337,12,61,934
338,2,154,2691
339,15,67,1669
340,84,29,1058
341,74,30,394
342,8,48,2126
343,6,67,1651
344,0,48,2238
345,0,182,5741
346,5,124,5351
347,42,15,541
348,2,126,2962
349,5,34,869
350,1,103,3083
351,2,296,7660
352,17,6,179
353,11,125,3799
354,2,157,8730
355,340,7,340
356,4,234,2837
357,15,22,1704
358,0,371,12729
359,657,2,173
360,1,37,448
361,0,217,8747
362,5,91,2987
363,130,4,52
364,6,86,2567
365,14,170,7048
366,36,48,616
367,3,114,7186
368,18,53,1346
369,2,35,1035
370,155,133,3387
371,0,161,15717
372,215,10,440
373,3,13,97
374,6,163,7100
375,15,24,204
376,1,493,4715
377,0,133,3166
378,3,325,4715
379,4,2,56
380,0,129,7726
381,12,93,3121
382,36,34,695
383,18,150,5763
384,5,80,3915
385,10,41,2930
386,1,281,4676
387,7,131,5697
388,3,58,1287
389,1,271,14881
390,2,108,1806
391,98,49,1413
392,2,104,11444
393,0,180,3895
394,1,65,1566
395,1,68,873
396,6,107,1791
397,5,248,6162
398,10,125,2093
399,48,17,978
400,0,310,18494
401,5,96,2539
402,6,80,2234
403,69,46,915
404,2,240,6107
405,5,98,3653
406,0,45,1777
407,1,52,696
408,13,56,2471
409,2,135,4500
410,0,129,1148
411,6,158,6697
412,0,112,2426
413,9,284,5964
414,7,153,2489
415,17,16,515
416,136,29,2177
417,8,84,3013
418,0,256,6961
419,70,46,1697
420,0,99,2131
421,6,194,6013
422,0,20,983
423,122,14,231
424,24,24,2442
425,1,151,5544
426,1,228,7861
427,1,53,1073
428,18,95,3361
429,2,43,543
430,5,107,2377
431,1,36,532
432,0,257,3487
433,15,76,950
434,3,117,3779
435,0,93,1817
436,14,30,2319
437,3,90,5916
438,7,67,4457
439,0,38,568
440,222,6,84
441,2,76,2370
442,0,214,3095
443,0,103,2644
444,140,44,1262
445,75,232,2696
446,9,30,212
447,2,136,1670
448,5,45,493
449,6,34,827
450,16,65,1540
451,0,161,2376
452,20,26,787
453,2,34,743
454,1,356,8216
455,4,25,1253
456,10,94,6314
457,17,78,718
458,2,127,1686
459,7,67,1195
460,4,113,760
461,27,39,665
462,5,97,1511
463,0,587,5803
464,2,173,3590
465,15,44,383
466,41,17,423
467,5,145,2643
468,0,334,5836
469,13,165,7748
470,4,156,2305
471,1,51,1530
472,48,96,8296
473,2,70,3209
474,0,36,2102
475,2,41,1525
476,66,29,1551
477,17,65,812
478,35,20,286
479,7,185,1773
480,38,92,3646
481,26,49,2056
482,1,61,1849
483,1,98,2719
484,5,137,2965
485,1,162,5431
486,17,29,922
487,42,9,134
488,50,20,407
489,0,212,5867
490,19,80,3887
491,2,124,4836
492,78,117,7148
493,3,196,4926
494,617,1,8
495,29,73,3051
496,59,13,648
497,8,63,766
498,1,58,904
499,167,70,753
500,258,5,85
501,16,22,478
502,9,57,2299
503,1,151,4724
504,91,7,516
505,7,18,189
506,1,32,1254
507,19,66,1455
508,19,55,1191
509,144,16,277
510,4,346,7903
511,0,373,5426
512,5,25,1114
513,6,161,12130
514,12,66,2339
515,1,47,1827
516,5,17,295
517,7,105,3743
518,5,153,4926
519,52,32,819
520,0,112,2071
521,17,53,859
522,220,3,29
523,1,277,5732
524,17,72,1985
525,27,40,903
526,4,183,4575
527,3,130,3582
528,6,17,374
529,18,56,1831
530,20,53,1476
531,0,40,1061
532,62,23,402
533,19,64,2793
534,2,465,1315
535,79,34,1309
536,2,87,1557
537,37,45,1411
538,7,69,4382
539,0,65,1269
540,4,93,3281
541,20,47,1784
542,19,123,2314
543,0,104,3698
544,27,131,1595
545,3,56,2660
546,78,122,3339
547,6,55,1677
548,27,93,4256
549,1,98,2299
550,0,39,855
551,12,52,854
552,7,44,2289
553,0,265,7259
554,16,21,1524
555,110,21,561
556,43,15,694
557,28,29,718
558,7,115,2426
559,222,27,249
560,0,326,7291
561,10,26,1404
562,16,79,3178
563,4,72,2489
564,2,52,842
565,4,21,498
566,0,146,1218
567,0,254,3135
568,1,180,8613
569,1,102,6749
570,0,35,1400
571,106,16,1114
572,195,45,903
573,15,102,3112
574,0,120,6754
575,0,356,11771
576,32,167,3750
577,4,39,4400
578,7,117,2997
579,6,23,435
580,5,98,1338
581,11,146,5060
582,2,142,5138
583,21,156,3063
584,176,56,1098
585,21,42,805
586,0,211,5823
587,0,27,248
588,1,262,9541
589,19,17,299
590,3,134,3338
591,0,325,13535
592,53,34,661
593,20,57,646
594,6,104,2421
595,2,146,2374
596,0,113,2996
597,3,100,3826
598,1,213,3355
599,67,5,358
600,0,166,5520
601,1,79,5241
602,34,53,1850
603,1,182,3220
604,0,56,2312
605,3,128,5856
606,3,97,3323
607,5,216,3203
608,0,217,5149
609,0,162,1666
610,35,24,573
611,2,73,2316
612,0,144,3979
613,11,11,347
614,3,122,2757
615,13,24,346
616,9,10,476
617,19,27,1316
618,1,544,7344
619,106,5,169
620,140,19,305
621,1,142,3179
622,1,147,2384
623,0,124,3899
624,6,160,6003
625,2,34,1234
626,12,25,649
627,4,45,1785
628,4,18,1148
629,81,27,377
630,0,206,7746
631,0,483,9278
632,2,94,3371
633,0,167,5494
634,242,35,1555
635,56,34,363
636,1,227,9045
637,3,113,2510
638,4,164,8039
639,91,79,760
640,31,92,2253
641,2,355,13222
642,124,64,2208
643,7,31,1416
644,1,214,3772
645,169,49,429
646,21,41,1692
647,0,129,6327
648,5,73,1910
649,155,55,1553
650,16,78,1416
651,180,8,371
652,0,48,1800
653,9,228,10823
654,4,146,2330
655,1,61,1991
656,16,95,5040
657,8,20,120
658,8,49,1052
659,26,32,761
660,2,168,7954
661,1,394,8271
662,18,39,1382
663,2,105,3200
664,20,31,995
665,1,39,716
666,2,100,1021
667,3,66,1121
668,0,57,1151
669,5,119,9164
670,3,192,5686
671,17,127,5090
672,1,121,2731
673,0,50,705
674,0,139,4728
675,0,223,4832
676,3,376,10741
677,1,45,1601
678,167,57,459
679,2,262,6494
680,11,96,3513
681,0,66,2773
682,142,217,4438
683,114,9,170
684,0,107,2053
685,3,201,6020
686,55,21,535
687,3,69,3206
688,19,28,3208
689,324,3,29
690,1,273,4963
691,7,54,2511
692,1,124,3891
693,15,209,6379
694,0,154,1757
695,1,226,8524
696,3,326,14716
697,12,62,2824
698,2,127,1204
699,5,150,10353
700,6,39,2981
701,9,39,2594
702,3,276,8206
703,3,219,9476
704,187,9,77
705,18,93,1386
706,0,133,4025
707,0,498,19194
708,5,68,2828
709,5,156,5536
710,1,229,3724
711,2,36,430
712,1,256,11711
713,19,24,541
714,0,294,4117
715,0,178,3712
716,3,81,1291
717,20,51,617
718,4,599,19300
719,8,34,1099
720,5,86,1679
721,9,46,554
722,6,136,6438
723,6,23,1231
724,51,26,639
725,0,133,4829
726,0,71,2220
727,0,118,4923
728,5,475,10733
729,9,32,1159
730,6,92,1112
731,9,233,3151
732,2,104,3968
733,7,76,2679
734,14,76,1320
735,24,92,1062
736,6,60,3062
737,60,52,1594
738,0,101,2593
739,422,6,160
740,0,113,6645
741,6,88,3415
742,8,328,3951
743,13,71,1989
744,6,158,4730
745,1,180,6714
746,123,39,569
747,2,136,1167
748,9,84,2709
749,6,77,1067
750,2,49,599
751,56,27,521
752,2,106,3793
753,0,50,2177
754,12,32,1535
755,2,307,10617
756,70,24,690
757,43,40,2023
758,24,17,345
759,6,41,1274
760,162,70,1873
761,0,178,9036
762,0,886,8983
763,92,40,2816
764,8,112,3197
765,1,30,1587
766,10,122,8350
767,32,13,563
768,1,466,6681
769,6,46,1544
770,13,43,2246
771,0,497,7991
772,25,42,272
773,8,22,900
774,55,16,910
775,197,33,1121
776,5,72,3154
777,1,40,2746
778,101,123,2286
779,1,86,3918
780,6,67,580
781,6,57,1666
782,48,70,1557
783,125,17,387
784,3,134,3118
785,4,103,2090
786,5,204,7434
787,2,190,2505
788,2,295,7514
789,2,26,370
790,7,58,2843
791,89,21,303
792,0,23,337
793,8,107,1832
794,14,32,1752
795,40,45,1296
796,11,50,446
797,5,92,3060
798,6,54,1587
799,2,68,2084
800,0,443,10427
801,4,29,1652
802,9,59,2154
803,4,65,2037
804,6,221,3918
805,1,304,5565
806,0,125,5875
807,7,123,4014
808,0,206,2318
809,20,57,620
810,17,37,540
811,14,39,680
812,25,93,1165
813,3,33,2065
814,24,23,774
815,17,47,1802
816,15,106,3469
817,5,147,4802
818,0,52,1725
819,10,6,162
820,0,208,4604
821,91,17,465
822,12,42,867
823,6,117,2590
824,0,57,1167
825,3,242,11835
826,26,26,203
827,2,20,327
828,211,37,1123
829,13,32,1635
830,0,231,1694
831,5,166,8831
832,11,14,479
833,106,34,1976
834,4,28,946
835,123,17,274
836,20,75,1564
837,3,36,793
838,1,32,385
839,19,10,847
840,0,214,11945
841,0,157,2550
842,11,506,7527
843,1,74,2619
844,1,141,5400
845,6,117,5097
846,27,34,1121
847,3,53,1463
848,7,29,2684
849,3,62,4600
850,10,97,1253
851,49,21,167
852,7,95,1944
853,1,516,13497
854,33,36,552
855,1,216,5618
856,1,182,5080
857,8,43,4041
858,1,42,594
859,1,194,7074
860,75,52,261
861,5,34,1383
862,0,71,1754
863,0,146,2184
864,0,109,7893
865,16,35,1888
866,18,136,5519
867,0,182,6089
868,3,162,6837
869,1,130,1429
870,293,12,241
871,2,132,10436
872,21,9,172
873,13,113,2938
874,154,5,222
875,22,68,1473
876,3,200,5899
877,11,63,3355
878,2,181,5981
879,7,96,2449
880,38,12,197
881,0,139,4295
882,9,240,4610
883,1,352,10165
884,2,70,674
885,2,87,2603
886,2,198,4890
887,17,48,1134
888,5,79,8689
889,0,216,12983
890,17,31,1069
891,0,113,7035
892,106,22,443
893,2,111,4729
894,27,31,1095
895,11,211,8700
896,5,112,5274
897,1,62,840
898,0,315,8355
899,73,12,315
900,0,1223,16451
901,2,76,2767
902,105,10,135
903,10,72,2950
904,1,31,890
905,51,31,852
906,0,382,7049
907,3,92,1953
908,4,199,6097
909,0,713,12415
910,69,34,1158
911,20,75,3697
912,95,20,1164
913,8,69,1831
914,2,60,1834
915,4,119,970
916,3,206,3765
917,143,44,488
918,106,152,3135
919,1,135,1469
920,1,238,5887
921,106,9,101
922,13,150,3337
923,3,164,3306
924,3,95,2336
925,60,79,485
926,7,241,7274
927,14,46,1531
928,5,137,3572
929,5,244,5343
930,0,43,967
931,43,42,4967
932,20,158,5846
933,53,79,2175
934,3,234,10709
935,21,57,1565
936,0,502,7089
937,3,68,1670
938,69,26,1647
939,2,154,5255
940,30,65,1262
941,1,122,2206
942,31,215,5890
943,32,144,3434
944,10,104,2860
945,8,51,1926
946,2,136,2530
947,1,221,2306
948,339,4,305
949,4,134,5800
950,101,58,2027
951,0,18,690
952,3,111,2201
953,11,114,2513
954,17,53,2537
955,0,274,4054
956,0,621,10232
957,0,576,3755
958,4,11,313
959,3,60,1075
960,1,106,2447
961,13,72,3956
962,19,53,1530
963,123,43,2037
964,4,88,2045
965,7,52,1764
966,57,16,202
967,45,10,299
968,0,167,9805
969,27,8,312
970,11,15,691
971,0,126,3676
972,1,197,4219
973,1,84,13486
974,1,43,1993
975,0,182,4769
976,5,82,6191
977,14,34,1037
978,0,71,3014
979,1,205,12855
980,14,29,1330
981,21,36,1394
982,1,412,18790
983,0,196,3807
984,27,32,1220
985,2,110,2057
986,13,90,1828
987,10,75,2335
988,0,196,6109
989,4,174,4663
990,141,16,247
991,46,31,1420
992,0,102,823
993,8,126,3065
994,8,21,581
995,8,21,1217
996,0,139,2221
997,0,92,4647
998,8,250,8305
999,12,57,2154
1000,5,138,4151
1001,1,90,4082
1002,0,30,974
1003,28,63,2589
1004,2,253,3709
1005,0,180,2470
1006,49,11,161
1007,2,122,1369
1008,21,40,511
1009,125,23,126
1010,1,91,2486
1011,7,140,3495
1012,38,121,2343
1013,6,35,947
1014,8,161,4200
1015,1,108,3808
1016,57,40,3090
1017,10,63,3436
1018,4,167,2139
1019,8,53,1554
1020,0,171,9561
1021,3,99,2086
1022,130,36,263
1023,1,603,38320
1024,4,145,9449
1025,15,81,3552
1026,280,26,413
1027,1,41,1065
1028,153,12,122
1029,3,276,13786
1030,47,30,1260
1031,154,146,4232
1032,55,92,2474
1033,71,26,1367
1034,13,70,841
1035,304,4,183
1036,53,27,1231
1037,0,33,1077
1038,9,275,1602
1039,2,82,5168
1040,1,229,5665
1041,0,291,7157
1042,5,248,5284
1043,43,19,989
1044,5,20,424
1045,1,295,4893
1046,16,153,4315
1047,6,80,1053
1048,63,103,1934
1049,6,55,698
1050,2,135,5135
1051,14,55,2276
1052,480,7,232
1053,4,96,4616
1054,22,41,1035
1055,14,81,1204
1056,9,66,4871
1057,1,184,8219
1058,0,563,3280
1059,156,5,73
1060,39,64,6097
1061,2,147,6212
1062,0,216,1496
1063,90,57,1327
1064,3,44,3075
1065,6,50,5167
1066,3,245,3114
1067,9,62,3742
1068,11,111,1322
1069,30,55,3433
1070,3,177,5187
1071,6,84,2052
1072,10,61,2695
1073,1,121,3014
1074,4,132,7769
1075,22,67,1469
1076,0,86,2241
1077,6,36,1493
1078,1,250,6886
1079,49,50,1001
1080,23,84,2206
1081,12,139,10202
1082,0,142,2033
1083,17,54,1397
1084,0,225,2363
1085,9,106,4806
1086,11,30,1189
1087,22,149,3010
1088,0,91,1440
1089,7,96,2405
1090,29,12,308
1091,45,116,5617
1092,5,42,945
1093,0,33,994
1094,2,95,5936
1095,67,30,600
1096,26,47,592
1097,6,165,8806
1098,0,449,9501
1099,63,28,683
1100,8,26,313
1101,50,16,191
1102,18,81,2263
1103,3,204,6104
1104,13,118,3378
1105,23,9,500
1106,9,38,683
1107,63,22,877
1108,34,22,292
1109,20,87,3059
1110,3,133,5508
1111,4,321,18895
1112,35,52,1889
1113,1,176,4391
1114,1,44,971
1115,3,51,1829
1116,15,64,2779
1117,1,186,3667
1118,116,16,946
1119,1,68,2233
1120,2,87,1738
1121,29,61,2487
1122,213,77,1237
1123,37,73,3916
1124,2,79,1896
1125,0,89,691
1126,1,28,2543
1127,0,29,1564
1128,1,234,3027
1129,0,73,2401
1130,0,362,6563
1131,1,102,3035
1132,10,58,2074
1133,0,115,1378
1134,22,51,5051
1135,5,64,749
1136,7,59,1934
1137,3,134,2122
1138,0,212,4546
1139,6,92,7540
1140,51,21,1164
1141,15,59,1137
1142,1,284,15179
1143,75,12,173
1144,13,24,187
1145,4,81,3875
1146,0,345,8855
1147,1,57,3779
1148,3,26,479
1149,39,17,308
1150,159,14,845
1151,3,159,2809
1152,16,77,1306
1153,6,65,1143
1154,0,127,3804
1155,0,41,2053
1156,73,29,999
1157,37,104,2780
1158,0,219,2903
1159,3,233,4469
1160,0,145,4378
1161,6,63,1378
1162,214,33,432
1163,17,153,4808
1164,0,104,4689
1165,5,57,1414
1166,0,409,12301
1167,3,150,6799
1168,8,69,874
1169,6,128,5159
1170,62,7,68
1171,4,34,997
1172,1,167,4569
1173,74,41,656
1174,7,122,2157
1175,5,135,7404
1176,8,16,241
1177,13,17,338
1178,3,212,5022
1179,0,205,9428
1180,10,166,5430
1181,5,89,2197
1182,27,124,1966
1183,34,9,260
1184,18,13,714
1185,4,61,1334
1186,3,79,6060
1187,1,133,2996
1188,5,149,3722
1189,12,51,954
1190,0,253,3327
1191,2,98,2486
1192,2,100,1483
1193,13,219,4724
1194,9,62,1277
1195,6,41,1271
1196,29,27,1916
1197,6,160,7989
1198,15,44,1005
1199,430,7,164
1200,26,30,1619
1201,15,38,538
1202,16,25,587
1203,1,173,6385
1204,3,81,2043
1205,32,186,4384
1206,11,381,6172
1207,6,108,765
1208,17,54,1078
1209,1,23,361
1210,15,37,921
1211,0,168,9045
1212,26,6,195
1213,6,46,622
1214,36,7,123
1215,16,15,786
1216,0,134,5304
1217,5,54,2657
1218,9,96,3094
1219,2,121,823
1220,79,31,787
1221,30,15,652
1222,2,174,5833
1223,20,57,1744
1224,4,92,2364
1225,15,76,1415
1226,10,76,6237
1227,0,86,3810
1228,0,797,14504
1229,0,385,18304
1230,18,20,259
1231,8,55,1920
1232,166,22,488
1233,18,38,1779
1234,1,94,5548
1235,4,20,894
1236,2,194,3993
1237,90,20,1051
1238,7,51,4679
1239,3,26,2068
1240,0,217,11250
1241,1,91,2041
1242,6,35,830
1243,117,15,250
1244,4,34,603
1245,0,254,4469
1246,9,97,5428
1247,2,123,6640
1248,9,158,9091
1249,7,23,492
1250,12,6,203
1251,57,53,326
1252,17,46,1153
1253,89,24,570
1254,73,6,252
1255,17,28,522
1256,5,170,5274
1257,4,31,1389
1258,0,232,3502
1259,29,33,1164
1260,0,168,11201
1261,6,228,3778
1262,47,29,770
1263,29,126,5257
1264,10,132,6459
1265,0,49,1410
1266,11,115,1657
1267,2,66,1690
1268,5,71,3014
1269,0,109,2595
1270,6,73,3455
1271,1,132,4156
1272,0,258,10019
1273,5,17,265
1274,2,273,12503
1275,420,8,138
1276,8,20,623
1277,1,328,5901
1278,6,19,738
1279,2,199,4793
1280,22,24,428
1281,16,38,788
1282,19,203,5957
1283,3,49,332
1284,1,160,1974
1285,2,137,5049
1286,103,30,595
1287,12,159,2818
1288,3,55,1896
1289,1,525,1512
1290,9,34,1060
1291,4,103,3290
1292,15,27,520
1293,1,176,2763
1294,2,56,4829
1295,3,68,1637
1296,3,80,2124
1297,0,147,2733
1298,12,50,1488
1299,0,192,5960
1300,1,84,2960
1301,1,80,1494
1302,3,36,758
1303,3,212,6344
1304,1,90,899
1305,30,373,7553
1306,3,171,3042
1307,4,174,2050
1308,132,23,321
1309,161,9,158
1310,19,34,858
1311,104,17,686
1312,8,134,5056
1313,11,30,1031
1314,1,421,14330
1315,87,5,645
1316,18,58,3736
1317,4,196,4065
1318,14,74,5584
1319,32,48,1060
1320,4,14,360
1321,1,204,1888
1322,23,16,261
1323,5,11,297
1324,12,42,2667
1325,2,64,2836
1326,4,394,8831
1327,302,9,477
1328,1,96,2545
1329,10,31,1546
1330,4,86,2178
1331,33,105,1821
1332,5,60,2047
1333,6,129,7710
1334,14,57,630
1335,22,31,979
1336,3,123,6035
1337,0,244,11501
1338,1,189,1784
1339,10,6,390
1340,16,57,513
1341,74,13,435
1342,33,12,160
1343,46,12,267
1344,20,27,2729
1345,21,56,1349
1346,0,80,1174
1347,5,131,3360
1348,85,23,324
1349,0,202,5380
1350,2,131,2569
1351,14,91,564
1352,0,138,5399
1353,8,132,4020
1354,1,87,2535
1355,2,14,548
1356,6,86,2239
1357,1,87,3062
1358,1,123,2467
1359,4,76,1193
1360,38,23,630
1361,1,11,609
1362,15,61,1419
1363,0,58,4075
1364,1,145,2466
1365,322,9,104
1366,6,256,4243
1367,1,352,12125
1368,11,32,2767
1369,0,144,3106
1370,0,86,8532
1371,180,45,836
1372,53,25,1337
1373,11,40,658
1374,3,99,2842
1375,1,122,3745
1376,3,235,11041
1377,8,35,791
1378,4,121,6934
1379,0,509,13995
1380,32,25,350
1381,9,49,134
1382,5,116,3082
1383,10,128,1533
1384,15,33,827
1385,18,112,5638
1386,48,8,111
1387,6,66,2058
1388,2,151,6949
1389,10,41,2841
1390,6,211,4880
1391,3,169,8106
1392,50,109,2315
1393,3,203,5951
1394,4,151,4392
1395,2,40,1142
1396,91,229,7177
1397,3,283,5708
1398,17,20,405
1399,4,33,1033
1400,12,11,284
1401,28,52,587
1402,2,165,2246
1403,28,151,3673
1404,7,44,1248
1405,12,55,2481
1406,1,116,3790
1407,6,35,1616
1408,20,57,1055
1409,5,87,4324
1410,17,45,2526
1411,268,6,132
1412,6,77,4053
1413,11,27,344
1414,0,17,274
1415,8,27,271
1416,23,6,92
1417,1,75,3704
1418,4,78,2735
1419,0,524,7635
1420,57,79,3892
1421,0,218,5535
1422,4,11,482
1423,13,189,1696
1424,60,57,595
1425,2,131,3829
1426,10,65,2331
1427,5,83,2640
1428,9,164,4912
1429,1,83,819
1430,0,344,20353
1431,1,155,2718
1432,0,9,337
1433,24,8,70
1434,2,220,4160
1435,91,13,512
1436,115,8,135
1437,21,99,4776
1438,6,41,2131
1439,52,33,556
1440,0,100,2552
1441,77,13,401
1442,22,29,312
1443,1,182,2221
1444,93,23,324
1445,3,178,5131
1446,8,44,2096
1447,5,40,605
1448,60,80,1927
1449,86,39,406
1450,25,90,1647
1451,1,260,6700
1452,12,374,1884
1453,1,761,21661
1454,0,154,4934
1455,451,14,820
1456,26,69,1506
1457,19,39,2667
1458,6,126,3481
1459,9,79,4769
1460,59,57,2456
1461,2,290,7246
1462,7,120,4830
1463,4,139,3460
1464,35,76,2474
1465,7,56,1039
1466,11,38,1029
1467,0,835,2958
1468,143,81,4132
1469,161,44,1160
1470,3,133,1991
1471,44,32,487
1472,294,4,270
1473,3,118,4339
1474,4,72,2446
1475,1,339,14855
1476,1,356,9482
1477,50,15,279
1478,198,6,89
1479,2,716,9129
1480,43,27,152
1481,3,164,3299
1482,116,18,1042
1483,0,112,4725
1484,3,106,3209
1485,15,66,2188
1486,13,14,548
1487,7,38,1471
1488,19,76,3247
1489,1,536,17252
1490,2,208,5065
1491,1,289,5636
1492,2,95,1226
1493,7,25,943
1494,11,85,2595
1495,7,165,1780
1496,54,12,853
1497,19,9,527
1498,53,26,960
1499,0,89,2106
1500,14,54,1051
1501,10,205,8491
1502,31,47,2161
1503,51,18,118
1504,514,3,66
1505,55,103,4053
1506,1,144,2389
1507,11,26,1499
1508,42,81,1849
1509,1,204,6453
1510,0,1300,11211
1511,6,149,3740
1512,4,93,1674
1513,4,64,932
1514,7,57,2355
1515,0,99,4158
1516,215,15,190
1517,3,135,3871
1518,35,34,1374
1519,21,30,2426
1520,3,142,3839
1521,45,43,754
1522,78,35,1087
1523,32,67,1668
1524,1,60,2801
1525,21,38,1645
1526,1,199,2901
1527,1,321,17295
1528,0,239,8087
1529,4,244,9026
1530,4,48,880
1531,1,45,979
1532,42,86,1916
1533,11,22,255
1534,3,313,8450
1535,0,247,8454
1536,0,164,6960
