USERID,Recency,Frequency,Monetary
286,13,111,122223
287,27,105,126664
288,1,104,150331
289,0,106,131914
290,5,107,154926
291,6,82,104577
292,21,105,125191
293,1,95,100235
294,23,105,140897
295,7,98,131353
296,1,118,146675
297,5,96,112548
298,1,90,124681
299,10,106,143003
300,8,105,129708
301,5,96,140427
302,0,106,117304
303,5,107,131805
304,8,106,124179
305,5,90,116465
306,13,95,111303
307,9,113,145672
308,12,95,122530
309,0,102,130437
310,3,97,116141
311,2,87,157297
312,4,106,145822
313,5,113,131147
314,8,97,107863
315,0,93,105465
316,23,101,129867
317,5,98,140442
318,6,98,126982
319,0,113,168115
320,4,104,138330
321,1,113,123949
322,9,107,132586
323,4,114,133029
324,9,98,138056
325,4,112,158698
326,16,96,154684
327,11,93,126754
328,7,89,126589
329,2,91,121381
330,1,91,110274
331,25,86,109859
332,9,104,140203
333,2,109,146100
334,1,105,145743
335,1,119,133721
336,22,105,127846
337,13,109,160370
338,23,89,108988
339,18,100,118581
340,16,90,106374
341,9,107,134921
342,23,106,133023
343,1,94,115887
344,0,111,117871
345,0,89,100354
346,10,106,133631
347,9,95,130947
348,2,102,141749
349,22,93,113795
350,1,90,111413
351,3,104,115065
352,1,92,127903
353,1,104,131600
354,2,126,175286
355,34,105,127993
356,0,87,102291
357,21,112,150581
358,1,117,138258
359,4,93,115586
360,10,99,112428
361,28,86,114702
362,17,100,109336
363,0,103,108607
364,7,119,164702
365,0,99,123227
366,6,110,133918
367,3,103,131542
368,23,106,121021
369,26,106,137845
370,7,110,128150
371,1,89,112476
372,0,88,98568
373,23,96,137929
374,18,89,117602
375,17,91,120288
376,11,117,159780
377,14,100,105276
378,23,112,140446
379,22,80,99064
380,0,121,150529
381,9,110,164293
382,28,105,166485
383,6,107,107773
384,9,92,110093
385,9,118,163003
386,4,98,172307
387,9,100,113809
388,16,117,133932
389,9,104,136507
390,5,107,126365
391,4,110,143734
392,22,98,120056
393,11,99,114577
394,49,77,118057
395,17,112,145917
396,9,92,124574
397,10,92,139029
398,26,97,128236
399,8,101,110784
400,8,95,136376
401,4,94,117645
402,6,90,102612
403,25,101,111667
404,7,95,140697
405,22,101,130800
406,0,98,111114
407,17,101,120061
408,4,91,101069
409,9,94,171952
410,0,100,155926
411,13,92,124322
412,16,93,113290
413,0,129,175482
414,3,115,151340
415,9,94,106280
416,1,102,133660
417,4,103,134142
418,2,100,133521
419,3,95,125530
420,6,126,149146
421,9,105,135130
422,7,102,132727
423,2,95,102109
424,0,116,138475
425,0,91,117574
426,11,114,140364
427,7,83,88985
428,3,92,110687
429,0,95,103648
430,22,103,177184
431,6,100,99209
432,21,96,132384
433,2,104,129367
434,13,98,112295
435,19,110,134461
436,6,111,140281
437,10,99,120761
438,8,91,133735
439,4,95,117539
440,1,107,150410
441,5,95,125693
442,1,95,129181
443,10,97,134315
444,1,114,142362
445,7,102,114532
446,8,115,148504
447,29,100,151809
448,2,111,130663
449,3,87,98532
450,10,86,93156
451,5,116,118881
452,3,109,144650
453,10,94,112352
454,13,90,110997
455,3,117,153425
456,11,91,102054
457,8,96,120043
458,8,109,125031
459,24,98,116033
460,2,106,138709
461,0,88,113360
462,3,114,146769
463,39,93,120990
464,21,98,123529
465,0,107,140752
466,13,99,122232
467,0,97,139977
468,21,101,133158
469,31,83,90675
470,19,111,116494
471,1,106,136560
472,14,96,122343
473,6,113,138453
474,6,89,104434
475,11,100,137746
476,7,105,119258
477,19,95,149436
478,9,95,116064
479,1,118,168866
480,7,96,101410
481,22,93,125411
482,3,112,138474
483,62,96,124531
484,4,91,106056
485,10,111,157570
486,27,108,128816
487,20,98,107695
488,15,108,147118
489,4,96,135468
490,1,109,138257
491,5,97,131710
492,3,98,117493
493,34,92,102256
494,18,92,119191
495,1,111,135704
496,17,98,127539
497,14,103,139123
498,11,96,140530
499,4,113,124920
500,16,97,107412
501,0,103,139584
502,15,103,130498
503,0,123,140100
504,5,113,164054
505,0,86,104336
506,16,105,124146
507,2,101,123443
508,4,101,127484
509,8,100,129289
510,4,103,114648
511,2,106,136421
512,1,113,145873
513,31,96,117980
514,26,111,158720
515,1,105,147703
516,2,116,149615
517,11,100,118881
518,5,127,138781
519,15,99,137295
520,6,91,111094
521,0,94,114977
522,19,96,133879
523,0,100,119411
524,2,103,136507
525,4,117,150073
526,16,99,122558
527,3,92,121163
528,2,123,168699
529,3,105,111100
530,3,92,117160
531,15,119,142675
532,0,121,168475
533,0,84,104948
534,4,104,130603
535,8,102,131062
536,0,102,172504
537,1,104,126921
538,4,103,128569
539,9,112,128651
540,0,109,127957
541,39,86,106441
542,17,99,117735
543,2,107,141773
544,0,85,88222
545,12,120,154322
546,1,114,134231
547,4,104,136457
548,29,88,98785
549,8,93,112407
550,5,99,120035
551,21,108,116837
552,2,105,105635
553,7,107,167730
554,26,102,132972
555,3,103,134106
556,30,104,129484
557,5,86,91066
558,30,105,132208
559,8,110,142554
560,9,92,116299
561,14,101,113165
562,0,89,88377
563,2,100,123929
564,3,112,125853
565,35,100,147856
566,13,128,153343
567,2,95,127136
568,3,104,123561
569,3,86,107247
570,4,96,124795
571,6,105,114501
572,1,101,120415
573,2,104,126805
574,8,111,139720
575,39,114,141109
576,0,102,99498
577,7,81,97163
578,33,78,100641
579,0,115,165903
580,9,100,118265
581,5,102,139137
582,1,82,105723
583,20,103,132143
584,30,111,152273
585,1,114,132395
586,12,92,141193
587,0,91,116105
588,8,111,114719
589,0,99,124132
590,5,93,104134
591,1,96,122015
592,18,111,119911
593,2,126,155211
594,3,108,125230
595,12,90,103668
596,4,109,135558
597,10,120,156819
598,32,91,96608
599,3,117,149165
600,5,101,116548
601,33,90,122710
602,41,90,106139
603,4,90,117591
604,4,113,143918
605,2,112,128115
606,0,97,132059
607,3,95,121199
608,21,106,121244
609,5,105,125857
610,2,104,167684
611,36,104,129820
612,1,114,132032
613,1,102,138770
614,3,107,108123
615,1,104,156065
616,54,107,139370
617,14,85,100921
618,1,113,132909
619,0,120,147222
620,13,108,128894
621,0,96,118141
622,18,90,114481
623,5,97,132058
624,11,98,111210
625,0,122,159402
626,22,111,137710
627,5,112,134615
628,0,116,154259
629,5,114,144211
630,2,94,110407
631,0,91,117410
632,17,91,127551
633,8,90,127494
634,6,112,148142
635,18,100,131331
636,8,107,129662
637,12,90,101298
638,17,96,112306
639,14,100,139811
640,23,99,149552
641,19,92,114607
642,1,101,123705
643,19,96,106067
644,25,89,116765
645,11,105,142299
646,13,95,101790
647,5,84,146610
648,2,91,108406
649,6,106,129839
650,5,116,130127
651,4,123,172557
652,14,101,160729
653,5,103,146408
654,15,95,112233
655,4,116,152682
656,1,104,140874
657,13,116,131220
658,2,93,136051
659,20,122,156846
660,35,95,124305
661,0,82,115624
662,9,95,116694
663,1,104,126494
664,20,93,122237
665,33,113,177889
666,2,102,138234
667,5,94,128223
668,7,105,120897
669,1,103,109723
670,1,94,115781
671,14,89,107869
672,2,91,104917
673,14,108,131788
674,1,106,133064
675,2,109,133752
676,17,99,103069
677,3,118,143070
678,5,110,131516
679,10,90,109646
680,14,117,136372
681,7,98,173256
682,0,100,122955
683,9,83,99225
684,9,80,84328
685,1,108,131026
686,1,94,112998
687,11,83,123384
688,3,116,164285
689,0,115,153296
690,0,105,141594
691,33,94,108357
692,2,113,148226
693,12,100,121041
694,7,99,128141
695,17,98,117679
696,1,104,120070
697,1,115,151215
698,5,96,119993
699,12,126,145557
700,2,102,153007
701,2,109,119968
702,13,86,106356
703,17,112,143309
704,5,99,117739
705,5,111,158159
706,6,116,147438
707,8,98,119981
708,5,115,177258
709,11,107,134330
710,1,99,144529
711,13,90,120289
712,7,102,130656
713,1,101,120734
714,12,102,140536
715,29,94,118553
716,9,88,102150
717,9,88,124504
718,8,109,127386
719,15,97,115477
720,2,90,122370
721,10,97,118541
722,12,108,145171
723,6,108,132078
724,4,84,148597
725,14,115,139890
726,0,98,125189
727,12,100,130781
728,31,84,114482
729,2,93,130974
730,8,94,101668
731,0,90,102975
732,23,85,102582
733,24,98,116963
734,22,92,109643
735,9,103,134110
736,7,93,118295
737,0,102,117891
738,0,102,133711
739,34,91,112604
740,0,109,116571
741,31,96,119690
742,0,105,133596
743,0,110,133321
744,6,93,120818
745,2,111,141491
746,9,96,104926
747,8,84,138851
748,13,119,137391
749,0,100,132119
750,22,98,124027
751,11,78,88234
752,21,93,135080
753,7,96,117342
754,4,108,149096
755,4,111,134727
756,2,104,117981
757,62,84,126994
758,14,93,135206
759,2,99,99872
760,3,117,145574
761,6,84,122706
762,7,104,122914
763,3,116,154943
764,9,109,141605
765,10,98,130445
766,19,101,122495
767,0,83,120545
768,3,96,127512
769,25,108,130053
770,15,93,104379
771,3,96,115910
772,21,104,132208
773,23,116,130308
774,8,90,118146
775,0,102,119838
776,6,121,123603
777,4,104,133730
778,5,100,115207
779,8,100,158833
780,5,92,112311
781,0,116,132705
782,18,92,104065
783,29,97,114362
784,3,104,135941
785,0,87,99398
786,3,101,140129
787,8,109,147544
788,5,108,143706
789,14,105,132071
790,3,111,146021
791,8,111,134640
792,2,101,156627
793,28,97,122756
794,2,102,127554
795,24,101,127259
796,0,124,169939
797,5,84,102996
798,10,107,146181
799,34,102,139514
800,38,97,110277
801,12,99,137769
802,6,104,154897
803,4,101,131196
804,13,98,116023
805,1,103,168413
806,9,110,119092
807,3,109,128819
808,2,110,166364
809,10,83,106759
810,7,117,131738
811,9,121,219700
812,22,96,106404
813,4,99,145466
814,4,111,133310
815,13,106,150609
816,6,95,140828
817,17,109,140390
818,3,96,95884
819,12,93,111098
820,1,121,155588
821,5,110,122495
822,0,106,140991
823,6,77,103709
824,22,105,132315
825,14,103,115225
826,0,109,157877
827,2,105,121426
828,0,100,114897
829,35,86,117791
830,4,92,121928
831,9,83,106858
832,1,100,115468
833,6,116,185179
834,0,100,111087
835,2,111,156003
836,1,104,133191
837,19,114,142078
838,3,99,145650
839,9,108,115277
840,9,115,148105
841,2,113,144455
842,5,101,131307
843,19,98,132953
844,10,84,101747
845,2,99,110113
846,8,113,131562
847,36,112,161260
848,12,108,135844
849,0,104,136917
850,2,102,132710
851,4,96,128257
852,7,84,106129
853,9,97,145855
854,0,98,124569
855,1,105,118320
856,11,105,145237
857,16,85,90458
858,1,99,125606
859,0,105,126774
860,16,107,152705
861,4,117,140622
862,21,105,136264
863,1,95,135790
864,0,121,153766
865,23,115,139616
866,1,103,133299
867,4,106,135157
868,11,113,152213
869,4,107,152194
870,2,114,139943
871,14,95,104821
872,10,112,144476
873,2,102,116229
874,0,123,145588
875,0,99,126812
876,1,98,130314
877,1,123,154251
878,23,96,107721
879,2,115,132934
880,27,86,120708
881,1,106,147664
882,7,98,113500
883,5,112,135167
884,14,99,120032
885,12,112,160381
886,25,97,156693
887,17,106,135675
888,10,93,102096
889,1,95,99267
890,6,105,119683
891,3,106,142223
892,13,94,125808
893,13,108,143427
894,8,117,154027
895,11,102,138042
896,13,103,118996
897,2,90,93491
898,8,90,108551
899,6,115,137227
900,6,94,125656
901,36,102,129271
902,0,102,136768
903,12,111,154419
904,14,85,110530
905,15,102,140558
906,11,93,98331
907,1,97,138344
908,5,109,144249
909,10,109,117173
910,4,98,130247
911,3,93,113464
912,6,99,136723
913,6,115,163428
914,1,103,122782
915,5,96,129377
916,0,103,135082
917,1,104,121115
918,7,116,170112
919,20,94,108098
920,3,90,110773
921,1,96,119764
922,3,93,99985
923,23,97,140867
924,6,127,188954
925,6,108,149365
926,9,113,127521
927,4,107,124533
928,28,95,122701
929,0,128,172045
930,0,99,102908
931,62,117,173951
932,16,94,115875
933,2,94,105774
934,9,87,114462
935,0,108,135419
936,10,103,151924
937,3,111,130600
938,2,109,110735
939,16,93,113143
940,6,106,128626
941,1,95,117100
942,9,115,125141
943,0,115,133896
944,10,99,125156
945,4,90,137729
946,11,100,138993
947,2,117,170839
948,1,96,153380
949,3,102,142545
950,19,105,132708
951,17,89,103817
952,9,113,145918
953,2,111,130370
954,8,97,105642
955,25,108,139090
956,9,90,147714
957,0,99,166263
958,4,96,130910
959,10,106,154646
960,13,101,137300
961,4,113,155345
962,0,103,151632
963,9,103,125274
964,7,121,171781
965,9,108,140203
966,25,102,123838
967,16,96,117447
968,4,107,124728
969,10,103,135614
970,4,97,110157
971,0,102,112297
972,2,96,106109
973,42,113,144022
974,1,94,123334
975,12,102,128001
976,5,119,140658
977,25,100,124822
978,14,99,106319
979,2,88,119189
980,7,101,117541
981,6,91,117780
982,6,104,124895
983,15,82,101210
984,1,107,142488
985,7,102,118363
986,4,112,123268
987,9,97,115613
988,1,104,133903
989,1,98,160680
990,0,111,138964
991,8,108,172687
992,24,104,131141
993,11,118,136924
994,17,97,138709
995,20,101,115890
996,6,96,101537
997,13,91,94027
998,13,101,136792
999,7,99,128191
1000,6,113,153635
1001,3,111,119473
1002,3,104,161034
1003,4,92,98878
1004,33,107,164613
1005,18,125,171248
1006,3,98,127852
1007,11,90,112913
1008,0,111,141309
1009,2,111,114855
1010,11,97,118472
1011,9,120,176641
1012,3,94,126559
1013,15,100,114837
1014,4,114,147136
1015,7,107,125752
1016,3,96,120575
1017,8,110,139717
1018,24,109,168023
1019,8,98,108148
1020,1,92,136741
1021,2,103,130453
1022,24,88,111764
1023,6,86,89431
1024,14,116,147115
1025,4,107,136987
1026,6,93,122520
1027,36,87,108323
1028,11,77,99898
1029,3,91,106071
1030,5,107,141868
1031,6,110,139436
1032,7,96,157799
1033,1,115,136173
1034,0,106,146345
1035,3,88,95074
1036,9,87,105354
1037,7,87,100018
1038,1,94,106485
1039,12,104,172448
1040,11,102,120075
1041,4,89,127885
1042,8,111,137029
1043,6,111,163397
1044,4,110,175122
1045,8,102,112779
1046,25,103,112567
1047,6,116,126351
1048,1,92,95412
1049,1,91,136041
1050,16,117,145386
1051,28,120,138386
1052,2,114,164213
1053,5,79,88128
1054,2,118,141345
1055,6,115,152894
1056,2,91,103381
1057,7,122,119918
1058,0,100,131318
1059,29,126,146700
1060,3,106,133876
1061,17,104,131136
1062,2,116,145542
1063,12,108,138908
1064,12,107,178919
1065,9,108,128214
1066,8,102,136412
1067,0,119,150299
1068,12,101,133540
1069,29,105,121884
1070,2,96,117923
1071,3,95,113312
1072,0,101,125716
1073,0,101,127134
1074,0,92,120507
1075,4,110,130582
1076,35,89,106472
1077,18,98,116264
1078,36,89,121863
1079,4,110,121548
1080,17,100,116712
1081,10,113,153086
1082,0,84,90162
1083,7,111,156516
1084,6,102,135602
1085,4,96,91788
1086,29,97,136311
1087,14,103,129406
1088,14,106,126043
1089,4,109,149301
1090,1,101,119960
1091,7,108,148649
1092,4,100,143058
1093,0,114,139102
1094,23,96,319039
1095,18,97,135502
1096,18,112,134604
1097,11,104,119026
1098,0,120,173298
1099,3,92,102798
1100,10,111,132327
1101,5,95,133062
1102,24,96,108639
1103,2,94,117576
1104,1,89,103011
1105,13,82,99723
1106,3,102,157195
1107,22,106,136190
1108,7,108,139150
1109,2,112,158716
1110,11,89,105340
1111,18,104,121820
1112,29,97,141307
1113,2,125,135200
1114,0,115,143913
1115,9,103,90833
1116,5,107,112030
1117,10,111,138823
1118,2,94,120988
1119,18,100,157411
1120,9,99,141149
1121,12,93,115368
1122,15,102,130812
1123,16,107,131545
1124,7,121,151829
1125,3,100,122739
1126,26,95,123963
1127,4,98,115359
1128,13,91,140004
1129,2,98,127453
1130,1,84,101167
1131,4,116,167334
1132,6,117,159847
1133,5,104,120564
1134,11,89,120529
1135,4,112,133058
1136,4,116,156320
1137,4,94,107378
1138,2,82,104219
1139,10,89,121427
1140,32,91,103356
1141,10,97,117486
1142,10,106,137386
1143,1,97,120378
1144,18,96,144550
1145,29,95,164870
1146,9,122,137858
1147,6,113,138279
1148,14,103,138362
1149,11,109,140452
1150,5,102,129854
1151,11,95,126851
1152,23,89,116780
1153,0,113,203184
1154,3,106,119199
1155,15,80,86405
1156,12,116,147435
1157,9,99,125976
1158,1,116,191666
1159,3,112,147466
1160,7,86,117364
1161,14,105,138374
1162,0,99,118978
1163,1,80,104982
1164,12,101,119333
1165,0,101,135945
1166,21,105,127499
1167,19,102,117662
1168,20,108,133367
1169,11,110,130023
1170,5,92,111400
1171,1,107,126578
1172,10,103,132749
1173,5,103,112781
1174,2,113,146095
1175,1,112,148467
1176,0,94,135291
1177,19,99,125597
1178,14,99,111850
1179,0,97,117474
1180,4,87,115313
1181,0,109,158375
1182,12,109,122152
1183,0,122,125094
1184,2,111,153257
1185,6,103,138252
1186,3,111,132516
1187,5,82,103787
1188,6,87,114412
1189,21,107,147867
1190,0,108,107991
1191,29,103,113766
1192,6,104,135560
1193,10,103,154243
1194,1,103,150326
1195,1,116,166566
1196,0,92,126534
1197,1,93,139004
1198,3,103,126293
1199,11,121,141624
1200,2,103,135744
1201,4,100,110633
1202,4,113,145858
1203,55,88,120845
1204,6,119,145424
1205,0,117,153745
1206,6,118,138943
1207,1,103,149474
1208,1,118,148901
1209,4,106,132332
1210,4,101,159119
1211,3,110,128429
1212,4,93,112794
1213,31,76,86073
1214,3,102,124830
1215,1,109,148088
1216,12,103,130536
1217,5,105,134565
1218,4,89,111628
1219,14,89,105294
1220,20,102,127396
1221,14,94,112250
1222,5,100,116242
1223,6,92,118839
1224,10,97,88414
1225,6,113,146583
1226,29,111,140373
1227,40,87,113868
1228,6,104,137418
1229,17,101,111672
1230,30,113,153778
1231,4,106,123508
1232,1,117,247713
1233,5,109,133767
1234,11,121,135497
1235,4,99,132129
1236,2,119,103483
1237,26,91,100136
1238,4,104,125593
1239,10,96,115077
1240,3,88,128742
1241,1,99,139784
1242,7,108,125446
1243,5,108,155477
1244,17,115,157596
1245,2,110,152770
1246,24,98,108008
1247,0,84,103034
1248,3,97,104062
1249,2,105,127739
1250,16,119,148462
1251,1,102,109348
1252,7,103,117858
1253,15,101,136816
1254,1,95,120027
1255,6,101,140472
1256,7,90,122075
1257,1,112,132206
1258,22,93,105898
1259,7,94,115584
1260,5,106,128976
1261,13,104,127463
1262,4,103,128954
1263,9,108,127974
1264,10,100,110467
1265,14,91,116633
1266,0,118,171369
1267,13,101,162421
1268,0,110,154837
1269,1,107,122811
1270,30,99,108530
1271,10,94,106233
1272,0,104,145764
1273,16,93,104838
1274,2,101,104766
1275,4,116,156670
1276,0,104,123626
1277,0,118,145897
1278,4,111,127802
1279,10,82,95004
1280,4,100,113862
1281,5,109,136748
1282,5,88,98129
1283,6,110,143542
1284,1,109,152396
1285,6,100,130901
1286,13,97,121272
1287,0,108,124984
1288,6,95,122151
1289,6,99,110961
1290,7,104,132422
1291,5,96,126483
1292,12,102,145107
1293,5,95,150875
1294,2,120,165052
1295,1,113,150825
1296,2,93,130714
1297,26,106,131602
1298,1,98,116998
1299,16,91,105395
1300,24,102,114838
1301,5,100,136075
1302,7,110,137826
1303,30,101,117196
1304,4,105,146260
1305,0,107,131433
1306,34,99,144292
1307,37,97,122683
1308,0,123,168140
1309,20,107,125564
1310,23,99,142194
1311,3,91,117613
1312,12,104,130207
1313,40,94,97186
1314,0,98,121591
1315,1,111,140630
1316,12,112,155671
1317,7,112,128712
1318,10,95,121363
1319,0,139,203711
1320,9,87,105727
1321,10,99,123567
1322,5,116,128947
1323,15,117,147445
1324,3,111,183358
1325,4,106,150716
1326,2,103,115209
1327,12,102,134173
1328,0,115,152104
1329,16,100,142066
1330,9,99,112296
1331,5,109,142200
1332,16,105,110363
1333,2,96,148813
1334,12,107,132410
1335,0,102,121163
1336,6,103,127829
1337,0,112,131827
1338,1,102,131980
1339,18,100,100613
1340,24,87,120781
1341,1,101,131528
1342,17,113,139915
1343,12,83,115750
1344,2,96,112981
1345,24,95,113017
1346,0,99,124296
1347,9,95,116610
1348,2,87,101514
1349,16,101,113430
1350,22,117,163350
1351,10,112,150489
1352,21,97,115296
1353,9,114,142109
1354,25,115,142049
1355,8,112,190217
1356,14,110,131400
1357,5,101,129061
1358,25,101,122606
1359,5,98,170392
1360,0,109,131163
1361,13,102,144274
1362,17,106,134409
1363,13,109,137838
1364,9,98,131282
1365,0,105,160498
1366,0,89,124087
1367,7,84,145929
1368,3,103,130907
1369,11,113,132190
1370,14,98,108249
1371,8,88,107289
1372,0,109,148577
1373,12,111,145645
1374,8,94,133288
1375,0,77,96102
1376,28,117,151968
1377,21,95,116472
1378,4,94,109290
1379,14,89,111224
1380,41,101,142608
1381,6,105,169030
1382,9,109,146595
1383,5,105,147829
1384,3,99,110482
1385,21,100,123511
1386,3,116,135502
1387,3,112,127450
1388,3,90,91728
1389,11,90,165482
1390,9,96,113172
1391,0,96,98166
1392,4,115,154175
1393,3,93,110034
1394,16,99,130519
1395,0,109,139470
1396,2,113,121014
1397,3,109,145372
1398,1,99,147741
1399,20,85,107774
1400,1,112,192342
1401,5,99,116034
1402,0,110,148666
1403,1,99,130333
1404,8,102,130538
1405,3,111,149799
1406,1,101,129192
1407,12,107,123389
1408,18,110,165265
1409,2,118,150701
1410,0,101,126274
1411,0,95,153204
1412,5,105,121110
1413,36,101,132775
1414,29,106,137553
1415,1,103,140403
1416,2,110,145492
1417,2,85,109976
1418,8,116,142886
1419,23,98,135871
1420,36,83,106447
1421,0,99,118428
1422,14,106,121858
1423,26,94,117924
1424,9,107,156987
1425,0,118,142927
1426,3,103,122121
1427,21,100,138467
1428,5,103,134029
1429,7,101,109295
1430,16,87,142919
1431,2,103,144080
1432,1,89,111973
1433,14,101,149592
1434,8,118,164748
1435,0,111,160916
1436,9,105,118136
1437,8,94,119014
1438,8,125,153028
1439,7,108,130777
1440,4,87,128799
1441,8,101,129067
1442,19,84,96131
1443,14,112,165903
1444,10,115,170080
1445,7,101,98072
1446,2,104,146066
1447,19,98,126795
1448,6,94,121003
1449,20,103,120605
1450,20,102,135739
1451,3,93,109797
1452,2,100,135094
1453,28,96,152139
1454,29,102,159991
1455,1,107,139347
1456,0,118,157266
1457,5,112,177977
1458,0,99,121492
1459,16,102,136047
1460,14,90,119696
1461,6,96,136473
1462,26,99,139018
1463,1,110,142019
1464,4,108,135277
1465,2,94,137076
1466,4,115,174858
1467,9,92,111470
1468,10,100,106957
1469,2,86,107749
1470,3,106,142384
1471,9,103,119074
1472,10,116,162802
1473,13,122,160388
1474,14,105,112997
1475,13,115,130863
1476,4,105,114246
1477,0,100,141363
1478,7,87,104585
1479,10,112,135161
1480,21,84,104188
1481,16,105,140706
1482,6,108,153444
1483,12,107,120865
1484,2,94,138929
1485,16,85,126533
1486,0,100,111430
1487,0,104,122191
1488,6,87,108452
1489,2,110,127488
1490,3,108,138059
1491,1,79,116207
1492,10,120,179234
1493,7,101,135160
1494,5,132,154438
1495,1,91,118801
1496,1,100,118028
